ERC_ID,ERC_Title,ERC_Definition,ICD_MMS_Code,ICD_MMS_Title,ICD_Search_Title,ICD_Search_Definition,Search_Synonyms,Rank,Similarity_Score,Relationship
B154,Passenger vehicle,Passenger vehicle with a minimum of four wheels for standing passengers (additional seats allowed),XE50Z,Passenger car,passenger car,,,1,0.6044137477874756,ERC-Narrower
B155,Passenger vehicle,Passenger vehicle with a minimum of four wheels for seated passengers with at least 22 seat and no standing area,XE50Z,Passenger car,passenger car,,,1,0.6521407961845398,ERC-Narrower
B16,Freight vehicle,Motor vehicle for the carriage of goods,XE854,Heavy goods vehicle as counterpart in land transport crash,heavy goods vehicle as counterpart in land transport crash,"a heavy goods vehicle is a motor vehicle designed primarily for carrying property on roads, meeting local criteria for classification as a heavy goods vehicle in terms of curbside weight (usually above 3500 kg), and usually requiring a special driver's licence.",lorry; truck with trailer; road tractor; prime mover; fire brigade pump vehicle,1,0.6434822678565979,ERC-Narrower
B161,Freight vehicle,"Freight vehicle with a maximum mass not exceeding 3,5 t",XE854,Heavy goods vehicle as counterpart in land transport crash,heavy goods vehicle as counterpart in land transport crash,"a heavy goods vehicle is a motor vehicle designed primarily for carrying property on roads, meeting local criteria for classification as a heavy goods vehicle in terms of curbside weight (usually above 3500 kg), and usually requiring a special driver's licence.",lorry; truck with trailer; road tractor; prime mover; fire brigade pump vehicle,1,0.6057831048965454,ERC-Narrower
B162,Freight vehicle,"Freight vehicle with a maximum mass exceeding 3,5 t but not exceeding 12 t",XE381,Certain specified mobile machinery or special purpose vehicle,certain specified mobile machinery or special purpose vehicle,,,1,0.5793274641036987,ERC-Broader
B163,Freight vehicle,Freight vehicle with a maximum mass exceeding 12 t,XE854,Heavy goods vehicle as counterpart in land transport crash,heavy goods vehicle as counterpart in land transport crash,"a heavy goods vehicle is a motor vehicle designed primarily for carrying property on roads, meeting local criteria for classification as a heavy goods vehicle in terms of curbside weight (usually above 3500 kg), and usually requiring a special driver's licence.",lorry; truck with trailer; road tractor; prime mover; fire brigade pump vehicle,1,0.6631174683570862,ERC-Narrower
B17,Special vehicle,Specially equipped vehicle for distinct purposes,XE381,Certain specified mobile machinery or special purpose vehicle,certain specified mobile machinery or special purpose vehicle,,,1,0.7602613568305969,Equivalent
B171,Special vehicle,Special vehicle that has special traffic rights,XE885,Special vehicle mainly used on industrial premises as mode of transport of person injured in transport related event,special vehicle mainly used on industrial premises as mode of transport of person injured in transport related event,a motor vehicle designed primarily for use within the buildings and premises of industrial or commercial establishments.,special vehicle used in industry as mode of transport of person injured in transport related event,1,0.67500239610672,ERC-Narrower
B172,Special vehicle,Special vehicle for agricultur,XE35C,Special vehicle mainly used in agriculture as mode of transport of person injured in transport related event,special vehicle mainly used in agriculture as mode of transport of person injured in transport related event,"a motor vehicle designed specifically for use in farming and agriculture (horticulture), for example to work the land, tend and harvest crops and transport materials on the farm.",,1,0.8280096054077148,Equivalent
B173,Special vehicle,Special vehicle for construction,XE1GE,Mobile machinery or special purpose vehicle mainly used in construction,mobile machinery or special purpose vehicle mainly used in construction,,,1,0.7897791862487793,Equivalent
B174,Special vehicle,Special vehicle for military,XE6R9,Special all-terrain vehicle or off-road vehicle,special all-terrain vehicle or off-road vehicle,,,1,0.7205742001533508,Equivalent
B175,Special vehicle,Special vehicle for one or multiple terrains,XE6R9,Special all-terrain vehicle or off-road vehicle,special all-terrain vehicle or off-road vehicle,,,1,0.7839473485946655,Equivalent
B18,Railway,Transport device with carry-on engine rolling on metal rails,XE6DQ,Railway vehicle as counterpart in land transport crash,railway vehicle as counterpart in land transport crash,"a vehicle, or a coupled set of vehicles (a train), designed for traffic on a railway.",,1,0.6238378882408142,ERC-Narrower
B181,Railway,Railway for standing persons (seats optional),XE1KN,Railway train as mode of transport of person injured in transport related event,railway train as mode of transport of person injured in transport related event,,,1,0.5077524185180664,ERC-Broader
B182,Railway,Railway for sitting persons without particular standing areas,XE1KN,Railway train as mode of transport of person injured in transport related event,railway train as mode of transport of person injured in transport related event,,,1,0.5631115436553955,ERC-Broader
B183,Railway,Railway for goods,XE6DQ,Railway vehicle as counterpart in land transport crash,railway vehicle as counterpart in land transport crash,"a vehicle, or a coupled set of vehicles (a train), designed for traffic on a railway.",,1,0.5755717158317566,ERC-Broader
B19,Cableway,Transport device that runs with cables that are powered by external devices.,XE3NU,Pedestrian conveyance as counterpart in land transport crash,pedestrian conveyance as counterpart in land transport crash,"a device which is designed primarily for, or being used at the time primarily for, conveying the person and is not a transport vehicle.",powered pedestrian conveyances,1,0.5008264780044556,ERC-Broader
