Query,URI,Title,Definition,Synonyms,Parent_URI,Children
Forest,http://id.who.int/icd/entity/1248982672,Kyasanur forest disease encephalitis,,,,[]
Forest,http://id.who.int/icd/entity/172302617,Giant forest scorpion venom,,giant blue scorpion venom,,[]
Island,http://id.who.int/icd/entity/828784486,Pancreatic islets,,Endocrine pancreas; Islands of Langerhans; Islets of Langerhans,,[]
Island,http://id.who.int/icd/entity/691645577,Insula,,Island of Reil,,[]
Island,http://id.who.int/icd/entity/2025088146,Åland Island eye disease,"Åland Island Eye Disease (AIED) is an X-linked recessive retinal disease characterised by fundus hypopigmentation, decreased visual acuity, nystagmus, astigmatism, progressive axial myopia, defective dark adaptation and protanopia.",,,[]
Island,http://id.who.int/icd/entity/1477542199,Margarita island ectodermal dysplasia,,,,[]
Desert,http://id.who.int/icd/entity/1110009697,Desert,,,,[]
Desert,http://id.who.int/icd/entity/1194276488,Assault by abandonment,,desertion,,[]
Desert,http://id.who.int/icd/entity/844275673,Land forms,"Features of the landscape, such as mountains, hills, valleys plains, plateaus, and deserts.",,,[]
Desert,http://id.who.int/icd/entity/1598340346,Jatropha macrorhiza plant,,Arizona desert potato; desert potato,,[]
Desert,http://id.who.int/icd/entity/1367598280,Acute pulmonary coccidioidomycosis,"Forty per cent of coccidioidal infections result in symptomatic pulmonary disease that may be indistinguishable from a bacterial community-acquired pneumonia. Radiographically these are usually focal alveolar infiltrates. Infection may be associated with the development of a rash, particularly erythema nodosum and erythema multiforme. Occasionally, there may be symmetric arthralgias or arthritis. Peripheral blood eosinophilia is not uncommon. Acute primary pulmonary coccidioidomycosis, particularly when associated with erythema nodosum and/or erythema multiforme, is frequently called ""Valley fever."" When associated with arthralgias or arthritis, it has been termed ""desert rheumatism.""",desert fever; desert rheumatism; San Joaquin fever; San Joaquin valley fever; valley fever; primary pulmonary coccidioidomycosis; pulmonary coccidioidomycosis NOS,,[]
Desert,http://id.who.int/icd/entity/1250159671,Desert viper snake venom,,Daboia deserti venom,,[]
Desert,http://id.who.int/icd/entity/1691933410,Australian desert scorpion venom,,,,[]
Desert,http://id.who.int/icd/entity/441464436,Colorado River toad toxin,,Sonoran desert toad toxin; Sonoran desert toad poison; Colorado River toad poison,,[]
Desert,http://id.who.int/icd/entity/1423492171,Texas redheaded centipede venom,,giant desert centipede venom,,[]
Swamp,http://id.who.int/icd/entity/2068957729,Marsh or swamp,,,,[]
